Title,Author,ISBN,Pages,Subject
"Chemical, Biochemical, and Engineering Thermodynamics",Stanley I. Sandler,9780471661740,960,ChE
Unit Operations of Chemical Engineering,Warren Lee McCabe,9780072848236,1140,ChE
Product and Process Design Principles,Warren D. Seider,9780470048955,736,ChE
Process Dynamics and Control,Dale E. Seborg,9780470128671,514,ChE
Plant Design and Economics for Chemical Engineers,Max Peters,9780072392661,988,ChE
Air Pollution Control Engineering,Noel De Nevers,9781478629054,598,ChE
Essentials of Polymer Science and Engineering,Paul C. Painter,9781932078756,525,ChE
Design and Analysis of Experiments,Douglas C. Montgomery,9781118146927,752,ChE
Turbulence,Peter Davidson,9780198722595,656,ChE
Turbulent Flows,S. B. Pope,9780521598866,771,ChE
An Introduction to Mass and Heat Transfer,Stanley Middleman,9780471111764,672,ChE
Essential Thermodynamics,Athanassios Z. Panagiotopoulos,9781451564945,272,ChE
Elements of Chemical Reaction Engineering,H. Scott Fogler,9780133887518,992,ChE
Fluid Mechanics for Chemical Engineers with Microfluidics and CFD.,James O. Wilkes,9780131482128,755,ChE
Introduction to chemical engineering thermodynamics,Joseph Mauk Smith,9780073104454,817,ChE
Statistical mechanics for engineers,Isamu Kusaka,9783319138091,,ChE
The properties of gases and liquids,Bruce E. Poling,9780070116825,768,ChE
Analysis of Transport Phenomena,William Murray Deen,9780199740284,664,ChE
An Introduction to Applied Statistical Thermodynamics,Stanley I. Sandler,9780470913475,372,ChE
Inorganic Chemistry,Duward Shriver,9781429299060,830,Chemistry
Solutions Manual for Inorganic Chemistry,Alen Hadzovic,9781464124389,300,Chemistry
Physical Chemistry,Peter Atkins,9781429290197,1060,Chemistry
Problems and Solutions,Heather A. Cox,9780935702996,956,Chemistry
"Problems and Solutions to Accompany McQuarrie and Simon, Physical Chemistry: a Molecular Approach",Heather Cox,9780935702439,956,Chemistry
An Introduction to Combustion: Concepts and Applications,Stephen Turns,9780073380193,752,Chemistry
Organotransition Metal Chemistry,John Frederick Hartwig,9781891389535,1127,Chemistry
Student Solutions Manual for Modern Physical Organic Chemistry,Michael B. Sponsler,9781891389313,349,Chemistry
Advanced organic chemistry,Francis A. Carey,9780387683461,,Chemistry
Advanced Organic Chemistry,Francis A. Carey,9780387683546,1322,Chemistry
Strategic applications of named reactions in organic synthesis,László Kürti,9780124297852,758,Chemistry
Statistical Mechanics,Donald Allan McQuarrie,9781891389153,641,Chemistry
Quantum Computation and Quantum Information,Michael A. Nielsen,9781107002173,702,CSE
Nonlinear Programming,Dimitri P. Bertsekas,9781886529052,859,CSE
Introduction to Algorithms,Thomas H. Cormen,9780262033848,1292,CSE
Pattern Recognition and Machine Learning,Christopher M. Bishop,9780387310732,738,CSE
Neural Networks for Pattern Recognition,Christopher M. Bishop,9780198538646,482,CSE
"Hacking, 2nd Edition",Jon Erickson,9781593271442,488,CSE
Penetration Testing,Georgia Weidman,9781593275648,528,CSE
Rtfm,Ben Clark,9781494295509,96,CSE
Hash Crack,Joshua Picolet,9781540444967,82,CSE
Blue Team Field Manual,Alan White,9781541016361,144,CSE
Deep Learning,Ian Goodfellow,9780262035613,800,CSE
Make Your Own Neural Network,Tariq Rashid,9781530826605,222,CSE
Engineering a Compiler,Keith Daniel Cooper,9780120884780,800,CSE
Writing Compilers and Interpreters,Ronald Mak,9780470177075,864,CSE
Modern Compiler Design,Dick Grune,9781461446989,822,CSE
Algorithms,Robert Sedgewick,9780321573513,955,CSE
Computer Networks,Larry L. Peterson,9780123850591,884,CSE
Operating Systems,Thomas Anderson,9780985673529,669,CSE
Language Implementation Patterns,Terence Parr,9781934356456,374,CSE
The Algorithm Design Manual,Steven S. Skiena,9781848000698,730,CSE
Fabrication Engineering at the Micro- and Nanoscale,Stephen A. Campbell,9780199861224,671,ECE
Power electronics,Ned Mohan,9780471226932,802,ECE
"Wireless Receiver Design for Digital Communications, 2nd Edn",Kevin McClaning,9781891121807,758,ECE
"CMOS circuit design, layout, and simulation",R. Jacob Baker,9780470881323,,ECE
Analog Integrated Circuit Design,Tony Chan Carusone,9780470770108,794,ECE
Digital integrated circuits: a design perspective,Jan M. Rabaey,9780130909961,,ECE
Microwave Engineering,David M. Pozar,9780470631553,732,ECE
Radiowave Propagation,Curt Levis,9780470542958,301,ECE
Fundamentals of Digital Communication,Upamanyu Madhow,9780521874144,518,ECE
Digital Communications,Massoud Salehi,9780072957167,1168,ECE
Modern control systems,Richard C. Dorf,9780134407623,,ECE
Signals and Systems,Alan V. Oppenheim,9780138147570,957,ECE
Electric Energy,Mohamed A. El-Sharkawi,9781466503038,606,ECE
Solid State Electronic Devices,Ben G. Streetman,9780133356038,596,ECE
Microelectronic Circuits,Adel S. Sedra,9780199339136,1488,ECE
Fundamentals of Applied Electromagnetics,Fawwaz T. Ulaby,9780133356816,528,ECE
MSP430 microcontroller basics,John H. Davies,9780750682763,,ECE
Principles and applications of electrical engineering,Giorgio Rizzoni,9780073529592,,ECE
Digital Signal Processing,John G. Proakis,9780131873742,1084,ECE
Electromechanical Motion Devices,Paul C. Krause,9781118296127,544,ECE
Fundamentals of Power Electronics,Robert W. Erickson,9780792372707,883,ECE
Fundamentals of Optical Waveguides,Katsunari Okamoto,9780125250962,561,ECE
Fundamentals of Photonics,Bahaa E. A. Saleh,9780471358329,1200,ECE
Introduction to Modern Optics,Grant R. Fowles,9780486659572,328,ECE
Antenna Theory,Constantine A. Balanis,9781118642061,1096,ECE
"Memory systems: cache, DRAM, disk",Bruce Jacob,9780123797513,,ECE
Logic and Computer Design Fundamentals,M. Morris Mano,9780133760637,672,ECE
Fundamentals of Electric Circuits,Charles Alexander,9780078028229,992,ECE
Parallel Computer Architecture,David E. Culler,9781558603431,1025,ECE
Modern Processor Design,John Paul Shen,9781478607830,642,ECE
Computer Architecture,John L. Hennessy,9780123838728,493,ECE
Computer Organization and Design,David A. Patterson,9780124077263,575,ECE
Computer Architecture,Behrooz Parhami,9780195154559,575,ECE
Nonlinear RF Circuits and Nonlinear Vector Network Analyzers,Patrick Roblin,9780521889957,283,ECE
Introduction to Electromagnetic Compatibility,Clayton R. Paul,9780471755005,1016,ECE
Fundamentals of Wireless Communication,David Tse,9780521845274,564,ECE
Nonlinear Systems,Hassan K. Khalil,9780130673893,750,ECE
Nonlinear optics,Robert W. Boyd,9780123694706,,ECE
Advanced Engineering Electromagnetics,Constantine A. Balanis,9780470589489,1018,ECE
The Physics of Low-dimensional Semiconductors,John H. Davies,9780521484916,438,ECE
Introduction to Robotics,John J. Craig,9780133489798,448,ECE
"VHDL:Modular Design and Synthesis of Cores and Systems, Third Edition",Zainalabedin Navabi,9780071475457,531,ECE
Computer Vision,David Forsyth,9780136085928,761,ECE
Computer organization and embedded systems,V. Carl Hamacher,9780073380650,,ECE
Discrete-time Signal Processing,Alan V. Oppenheim,9780131988422,1108,ECE
Power Systems Analysis,Arthur R. Bergen,9780136919902,619,ECE
Lasers,A. E. Siegman,9780935702118,1283,ECE
Computational Complexity,Sanjeev Arora,9780521424264,579,ECE
Digital Control Engineering,M. Sami Fadali,9780123943910,582,ECE
Foundations of Analog and Digital Electronic Circuits,Anant Agarwal,9781558607354,984,ECE
The Physics of Solar Cells,Jenny Nelson,9781860943492,363,ECE
Principles of Modern Radar,Mark A. Richards,9781891121524,924,ECE
Analog Circuit Design,Johan H. Huijsing,9780132543354,413,ECE
Basic Economics,Thomas Sowell,9780465060733,704,Economics
Introduction to Modern Economic Growth,Daron Acemoglu,9780691132921,990,Economics
Modern Principles of Macroeconomics,Tyler Cowen,9781429278409,474,Economics
Macroeconomics,N. Gregory Mankiw,9781429218870,598,Economics
Advanced Macroeconomics,David Romer,9780073511375,736,Economics
Microeconomic Theory,Andreu Mas-Colell,9780195073409,981,Economics
Principles of Economics,N. Gregory Mankiw,9781305585126,888,Economics
The Oil Curse,Michael L. Ross,9780691159638,289,Economics
Capital Vol 1,Karl Marx,9780140445688,1152,Economics
Capital,Karl Marx,9780140445695,624,Economics
Capital,Karl Marx,9780140445701,1088,Economics
The Mystery of Capital,Hernando de Soto,9780465016150,275,Economics
A Theory of the Consumption Function,Milton Friedman,9781614278122,258,Economics
The Second Sex,Simone de Beauvoir,9780307277787,800,FemLit
The History Of Sexuality,Michel Foucault,9780679724698,,FemLit
"The History of Sexuality, Vol. 3",Michel Foucault,9780394741550,279,FemLit
The history of sexuality,Michel Foucault,9780394751221,304,FemLit
The Feminine Mystique (50th Anniversary Edition),Betty Friedan,9780393346787,592,FemLit
Critical Race Theory (Third Edition),Richard Delgado,9781479802760,224,FemLit
Intersectionality,Patricia Hill Collins,9780745684499,,FemLit
Critical Race Theory,Kimberlé Crenshaw,9781565842717,494,FemLit
"Black feminist thought: knowledge, consciousness, and the politics of empowerment",Patrici Collins,9780415964722,,FemLit
Masculinities,R. W. Connell,9780520246980,324,FemLit
Just Methods,Alison M. Jaggar,9781612053035,538,FemLit
"Women's Voices, Feminist Visions: Classic and Contemporary Readings",Susan Shaw,9780078027000,784,FemLit
Myths of Gender,Anne Fausto-Sterling,9780465047925,310,FemLit
Feminist Inquiry,M. E. Hawkesworth,9780813537054,286,FemPhilos
Teaching Feminist Activism,Nancy A. Naples,9780415931861,324,FemPhilos
Research Methods for English Studies,Gabriele Griffin,9780748683437,256,FemPhilos
Feminist Methodologies for Critical Researchers,Joey Sprague,9780759109032,237,FemPhilos
The Routledge Companion to Feminist Philosophy,Ann Garry,9781138795921,754,FemPhilos
Feminist Ethnography,D. Davis,9780759122451,248,FemPhilos
Feminist methodologies for critical researchers: bridging differences,Joey Sprague,9781442218727,,FemPhilos
The Science Question in Feminism,Sandra G. Harding,9780801493638,271,FemPhilos
Whose Science? Whose Knowledge?,Sandra G. Harding,9780801497469,319,FemPhilos
Feminism And Science,Evelyn Fox Keller,9780198751465,289,FemPhilos
Discovering Reality,Sandra Harding,9781402013195,332,FemPhilos
Qualitative Research Practice,Jane Ritchie,9781446209127,456,FemPhilos
Feminist Research Practice,Sharlene Nagy Hesse-Biber,9781412994972,433,FemPhilos
Feminism and Methodology,Sandra G. Harding,9780253204448,193,FemPhilos
The Feminist Standpoint Theory Reader,Sandra G. Harding,9780415945011,379,FemPhilos
The Postcolonial Science and Technology Studies Reader,Sandra Harding,9780822349570,476,FemPhilos
Teaching Critical Thinking,Bell Hooks,9780415968201,191,FemPhilos
The Extended Phenotype,Richard Dawkins,9780198788911,496,FH
The Selfish Gene,Charles Simonyi Chair of Public Understanding of Science Richard Dawkins,9780198788607,544,FH
Darwin's Dangerous Idea,Daniel C. Dennett,9780684824710,586,FH
Consciousness explained,D. C. Dennett,9780316180665,,FH
Free Will,Sam Harris,9781451683400,83,FH
The Moral Landscape,Sam Harris,9781439171226,307,FH
Lying,Sam Harris,9781940051000,105,FH
Letter to a Christian Nation,Sam Harris,9780307278777,120,FH
"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris,9780393327656,348,FH
Waking Up,Sam Harris,9781451636024,256,FH
Breaking the Spell,Daniel C. Dennett,9780143038337,448,FH
From Bacteria to Bach and Back,Daniel Clement Dennett,9780393242072,496,FH
Higher Superstition,Paul R. Gross,9780801857072,348,GR
Fashionable Nonsense,Alan Sokal,9780312204075,300,GR
Professing Feminism,Daphne Patai,9780739104552,426,GR
The Origin of Species,Charles Darwin,9781400041275,972,GR
The Victims' Revolution,Bruce Bawer,9780061807374,400,GR
Force and Fanaticism,Simon Ross Valentine,9781849044646,256,GR
The Big Picture,Sean Carroll,9781101984253,480,GR
Astrophysics for People in a Hurry,Neil deGrasse Tyson,9780393609394,144,GR
Decoding the Universe,Charles Seife,9780143038399,304,GR
The Science of Language,Noam Chomsky,9781107016378,321,GR
"Little science, big science-- and beyond",Derek J. de Solla Price,9780231049573,,GR
"The Rise of Statistical Thinking, 1820-1900",Theodore M. Porter,9780691024097,333,GR
Introductuon to project management,Kathy Schwalbe,9780982800331,,GR
The Greatest Story Ever Told--So Far,Lawrence M. Krauss,9781476777610,336,GR
A Universe from Nothing,Lawrence M. Krauss,9781451624465,240,GR
A Treatise On The Fundamental Principles Of Violin Playing,Leopold Mozart,9780193185135,,GR
Tesla,Margaret Cheney,9780743215367,400,GR
The Wizard of Menlo Park,Randall E. Stross,9781400047635,376,GR
Vivaldi,H. C. Robbins Landon,9780226468426,208,GR
Tchaikovsky,David Brown,9781605980171,460,GR
The Cambridge History of the Second World War,John Ferris,9781107038929,872,History
The Cambridge History of the Second World War,Richard Bosworth,9781107034075,720,History
The Cambridge History of the Second World War,Michael Geyer,9781107039957,864,History
The Cambridge History Of The Cold War,Melvyn P. Leffler,9781107602311,,History
The Cambridge History of the Cold War,Melvyn P. Leffler,9781107602304,680,History
The Cambridge History of the Cold War,Melvyn P. Leffler,9781107602298,662,History
"The Cambridge History of the First World War: Volume 3, Civil Society",Jay Winter,9781316601433,779,History
The Cambridge History Of The First World War,Jay Winter,9781316504994,,History
The Cambridge history of the First World War,J. M. Winter,9781316504437,,History
The Art of Not Being Governed,James C. Scott,9780300169171,442,History
The Invisible Bridge,Rick Perlstein,9781476782423,880,History
Nixonland: the rise of a president and the fracturing of America,Rick Perlstein,9780743243032,,History
The Rise and Fall of the Third Reich,William L. Shirer,9781451651683,1249,History
Stalin: The First In-Depth Biography Based On Explosive New Documents From Russia's Secret Archives,E. S. Radinskij,9780385479547,,History
The History Of The Decline And Fall Of The Roman Empire,Edward Gibbon,9780140437645,,History
The Reformation,Diarmaid MacCulloch,9780143035381,,History
A people's history of the United States: 1492-2001,Howard Zinn,9780060838652,,History
A Reader on Punishment,Antony Duff,9780198763536,351,Law
A Theory Of Justice,John Rawls,9780674000780,,Law
The Routledge Companion to Philosophy of Law,Andrei Marmor,9780415878180,630,Law
"Law, Liberty, And Morality",H. L. A. Hart,9780804701549,,Law
Philosophy of Law,Joel Feinberg,9781133942962,1039,Law
The Philosophy of Law,Frederick F. Schauer,9780195155129,1002,Law
Criminal Justice,Frank J. Schmalleger,9780133591316,528,Law
The Oxford Handbook Of Jurisprudence And Philosophy Of Law,Jules Coleman,9780199270972,,Law
Jurisprudence,Brian Bix,9781611637212,364,Law
"Wills, Trusts, and Estates","Thomas M. Featherston, Jr.",9780769896250,193,Law
Wills and trusts in a nutshell,Robert L. Mennell,9781634604871,,Law
"Wills, Trusts, and Estates",Gerry W. Beyer,9781454850052,768,Law
Federal Income Taxation of Individuals in a Nutshell,John K. McNulty,9780314927002,543,Law
Tax procedure and tax fraud in a nutshell,Camilla E. Watson,9781634599320,,Law
Federal income tax,Joseph Bankman,9781454833901,,Law
Questions &amp;amp; answers,Patrick Emery Longan,9781422498606,,Law
Professional Responsibility: Examples And Explanations,W. Bradley Wendel,9781454868439,,Law
Public International Law in a Nutshell,Thomas Buergenthal,9780314279965,473,Law
International Law,Valerie Epps,9781454833949,,Law
Trademark And Unfair Competition Law In A Nutshell,Mark D. Janis,9780314163417,,Law
Intellectual Property,Arthur Raphael Miller,9780314278340,473,Law
Intellectual property: examples and explanations,Stephen M. McJohn,9781454850151,,Law
Federal Jurisdiction,Erwin Chemerinsky,9781454804024,1132,Law
Federal Courts,Laura E. Little,9781454815556,524,Law
Questions and Answers,David P. Leonard,9780769864228,300,Law
Federal Rules of [Evidence] in a nutshell,Michael H. Graham,9781628105490,,Law
Evidence in a nutshell: State and Federal rules,Paul F. Rothstein,9780314278333,,Law
Evidence,Arthur Best,9781454850045,,Law
Employment Discrimination,Susan Grover,9781454816102,608,Law
Employment Law in a Nutshell,Robert N. Covington,9780314195401,567,Law
Questions & Answers,Douglas M. Branson,9781422490853,356,Law
Corporations,Alan R. Palmiter,9781454850168,864,Law
Siegel's Corporations and Other Business Entities,Siegel,9781454809272,288,Law
The Law of Corporations in a Nutshell,Robert W. Hamilton,9780314904577,442,Law
Antitrust,Daniel A. Crane,9781454837992,,Law
Antitrust Law and Economics in a Nutshell,Ernest Gellhorn,9780314257239,617,Law
Antitrust,Christopher L. Sagers,9781454833956,,Law
Administrative Law and Process in a Nutshell,Ronald Levin,9781628103557,521,Law
Administrative Law,William F. Funk,9781454850106,456,Law
